sample,category,value
DTB-060-BL,chromothripsis (AR),no
DTB-061-BL,chromothripsis (AR),no
DTB-063-BL,chromothripsis (AR),no
DTB-064-BL,chromothripsis (AR),no
DTB-067-PRO,chromothripsis (AR),no
DTB-069-BL,chromothripsis (AR),no
DTB-071-BL,chromothripsis (AR),no
DTB-074-BL,chromothripsis (AR),no
DTB-077-PRO,chromothripsis (AR),no
DTB-080-BL,chromothripsis (AR),no
DTB-083-BL,chromothripsis (AR),no
DTB-085-BL,chromothripsis (AR),no
DTB-089-BL,chromothripsis (AR),no
DTB-090-PRO,chromothripsis (AR),no
DTB-091-BL,chromothripsis (AR),no
DTB-092-BL,chromothripsis (AR),no
DTB-094-BL,chromothripsis (AR),no
DTB-097-PRO,chromothripsis (AR),no
DTB-098-PRO2,chromothripsis (AR),no
DTB-100-BL,chromothripsis (AR),no
DTB-101-BL,chromothripsis (AR),no
DTB-102-PRO,chromothripsis (AR),no
DTB-104-BL,chromothripsis (AR),no
DTB-111-PRO,chromothripsis (AR),yes
DTB-112-BL,chromothripsis (AR),no
DTB-119-PRO,chromothripsis (AR),no
DTB-121-BL,chromothripsis (AR),no
DTB-124-BL,chromothripsis (AR),no
DTB-126-BL,chromothripsis (AR),no
DTB-127-PRO,chromothripsis (AR),no
DTB-128-BL,chromothripsis (AR),no
DTB-129-BL,chromothripsis (AR),no
DTB-132-BL,chromothripsis (AR),no
DTB-135-PRO,chromothripsis (AR),no
DTB-137-PRO,chromothripsis (AR),no
DTB-138-BL,chromothripsis (AR),no
DTB-140-BL,chromothripsis (AR),no
DTB-141-BL,chromothripsis (AR),no
DTB-143-BL,chromothripsis (AR),no
DTB-146-BL,chromothripsis (AR),no
DTB-149-BL,chromothripsis (AR),no
DTB-151-BL,chromothripsis (AR),no
DTB-156-BL,chromothripsis (AR),no
DTB-159-BL,chromothripsis (AR),no
DTB-165-PRO,chromothripsis (AR),yes
DTB-167-PRO,chromothripsis (AR),no
DTB-170-BL,chromothripsis (AR),no
DTB-172-BL,chromothripsis (AR),no
DTB-173-BL,chromothripsis (AR),no
DTB-175-BL,chromothripsis (AR),no
DTB-176-BL,chromothripsis (AR),no
DTB-183-BL,chromothripsis (AR),no
DTB-186-BL,chromothripsis (AR),no
DTB-187-BL,chromothripsis (AR),no
DTB-188-BL,chromothripsis (AR),no
DTB-190-BL,chromothripsis (AR),yes
DTB-193-BL,chromothripsis (AR),no
DTB-194-PRO,chromothripsis (AR),no
DTB-201-PRO,chromothripsis (AR),no
DTB-202-BL,chromothripsis (AR),no
DTB-204-BL,chromothripsis (AR),no
DTB-205-BL,chromothripsis (AR),no
DTB-206-BL,chromothripsis (AR),no
DTB-210-BL,chromothripsis (AR),no
DTB-213-BL,chromothripsis (AR),no
DTB-214-BL,chromothripsis (AR),no
DTB-216-PRO,chromothripsis (AR),no
DTB-220-BL,chromothripsis (AR),no
DTB-222-BL,chromothripsis (AR),no
DTB-223-BL,chromothripsis (AR),no
DTB-232-PRO,chromothripsis (AR),no
DTB-234-BL,chromothripsis (AR),no
DTB-251-BL,chromothripsis (AR),no
DTB-252-BL,chromothripsis (AR),no
DTB-255-BL,chromothripsis (AR),no
DTB-258-BL,chromothripsis (AR),no
DTB-260-BL,chromothripsis (AR),no
DTB-261-BL,chromothripsis (AR),no
DTB-265-PRO,chromothripsis (AR),no
DTB-266-BL,chromothripsis (AR),no
01115154-TA1,ecDNA,yes
01115156-TA1,ecDNA,no
01115156-TC5,ecDNA,no
01115157-TA3,ecDNA,no
01115157-TC3,ecDNA,no
01115183-TA1,ecDNA,no
01115202-TC2,ecDNA,yes
01115244-TA3,ecDNA,no
01115248-TA3,ecDNA,no
01115249-TC5,ecDNA,yes
01115257-TA4,ecDNA,no
01115263-TA3,ecDNA,no
01115284-TA9,ecDNA,no
01115326-TA3,ecDNA,yes
01115374-TA2,ecDNA,no
01115378-TA2,ecDNA,no
01115414-TA1,ecDNA,no
01115444-TA5,ecDNA,no
01115468-TA3,ecDNA,no
01115503-TC2,ecDNA,no
01115525-TA1,ecDNA,no
01115531-TA4,ecDNA,no
01115549-TA4,ecDNA,no
01115554-TA2,ecDNA,no
01115556-TC1,ecDNA,no
01115569-TC1,ecDNA,no
01115574-TC3,ecDNA,no
01115576-TC2,ecDNA,no
01115577-TC1,ecDNA,no
01115578-TC4,ecDNA,no
01115581-TA3,ecDNA,no
01115589-TC2,ecDNA,no
01115606-TA2,ecDNA,no
01115644-TA1,ecDNA,no
01115655-TA1,ecDNA,no
01115655-TC1,ecDNA,no
01115668-TA4,ecDNA,no
01115669-TA3,ecDNA,no
06115115-T,ecDNA,yes
06115117-T,ecDNA,no
06115118-T,ecDNA,no
6115233-T-C1,ecDNA,no
DTB-003-BL,ecDNA,no
DTB-005-BL,ecDNA,no
DTB-008-BL,ecDNA,no
DTB-009-BL,ecDNA,no
DTB-011-BL,ecDNA,no
DTB-018-BL,ecDNA,no
DTB-019-PRO,ecDNA,no
DTB-020-BL,ecDNA,no
DTB-021-BL,ecDNA,no
DTB-022-BL,ecDNA,no
DTB-023-BL,ecDNA,no
DTB-024-PRO,ecDNA,no
DTB-034-BL,ecDNA,no
DTB-035-BL,ecDNA,no
DTB-036-BL,ecDNA,no
DTB-037-BL,ecDNA,no
DTB-040-BL,ecDNA,no
DTB-042-BL,ecDNA,no
DTB-053-BL,ecDNA,no
DTB-055-PRO,ecDNA,no
DTB-059-BL,ecDNA,yes
DTB-060-BL,ecDNA,yes
DTB-061-BL,ecDNA,no
